serial_number,model,date,failure_probability,actual_failure_7d
ZCH0BNMV,ST12000NM0007,2020-06-30,0.97602016,0
57QEWPXFT,TOSHIBA MQ01ABF050,2020-05-19,0.9759923,1
ZCH0FS09,ST12000NM0007,2020-06-30,0.97598493,0
ZHZ4VRW1,ST12000NM0008,2020-06-30,0.97571284,0
ZCH09595,ST12000NM0007,2020-06-30,0.9756941,0
ZJV2ET85,ST12000NM0007,2020-06-30,0.97544855,0
ZA11X0AE,ST8000DM002,2020-06-30,0.9753044,0
ZJV1CSER,ST12000NM0007,2020-06-30,0.97521204,0
ZCH06HVA,ST12000NM0007,2020-06-30,0.9751907,0
ZJV02GLV,ST12000NM0007,2020-06-30,0.9751535,0
ZJV03PAQ,ST12000NM0007,2020-06-30,0.9751535,0
ZCH06WVM,ST12000NM0007,2020-06-30,0.9750905,0
ZJV1C46X,ST12000NM0007,2020-06-30,0.97502667,0
ZA16DQWC,ST8000NM0055,2020-06-30,0.9748989,0
ZCH0C12A,ST12000NM0007,2020-06-30,0.97482544,0
ZCH06N6B,ST12000NM0007,2020-06-30,0.9747638,0
ZCH0846M,ST12000NM0007,2020-06-30,0.97475445,0
ZJV0XZ7X,ST12000NM0007,2020-06-30,0.97455466,0
ZCH068AR,ST12000NM0007,2020-06-30,0.9744853,0
ZJV0WF3Z,ST12000NM0007,2020-06-30,0.97445583,0
ZA1278CT,ST8000DM002,2020-06-30,0.9743757,0
ZCH0BDWX,ST12000NM0007,2020-06-30,0.97429115,0
Z305M3J2,ST4000DM000,2020-06-30,0.97424173,0
Z305GHK2,ST4000DM000,2020-06-30,0.97424173,0
ZCH07DVT,ST12000NM0007,2020-06-30,0.9741669,0
ZCH066F9,ST12000NM0007,2020-06-30,0.97380537,0
ZCH0710L,ST12000NM0007,2020-06-30,0.9736829,0
ZCH095QH,ST12000NM0007,2020-06-30,0.97365814,0
ZCH09G0N,ST12000NM0007,2020-06-30,0.9736076,0
ZCH073S9,ST12000NM0007,2020-06-30,0.9736072,0
ZHZ6BG1N,ST12000NM0008,2020-06-30,0.973464,0
ZCH096Y4,ST12000NM0007,2020-06-12,0.97341657,1
ZA16EF28,ST8000NM0055,2020-06-30,0.9733793,0
ZJV00AGK,ST12000NM0007,2020-06-19,0.97331357,0
ZJV39XZ8,ST12000NM0007,2020-06-30,0.9733121,0
AAH93MDH,HGST HUH721212ALN604,2020-06-30,0.9733008,0
ZJV3BN2C,ST12000NM0007,2020-06-30,0.9732405,0
ZJV1CG4W,ST12000NM0007,2020-06-30,0.9731953,0
ZCH06WGK,ST12000NM0007,2020-06-30,0.97314286,0
8CH1UKVE,HGST HUH721212ALN604,2020-06-30,0.97301066,0
ZCH04ML1,ST12000NM0007,2020-06-30,0.9729331,0
ZA12MET8,ST8000DM002,2020-06-30,0.97289544,0
ZJV001L3,ST12000NM0007,2020-06-30,0.9728776,0
Z305D2WV,ST4000DM000,2020-06-26,0.9727218,1
ZCH0DG4W,ST12000NM0007,2020-06-30,0.97272146,0
ZCH0CYVN,ST12000NM0007,2020-06-30,0.97271335,0
ZJV0T5EL,ST12000NM0007,2020-06-30,0.9727103,0
ZJV1374P,ST12000NM0007,2020-06-30,0.9725176,0
ZCH07Z58,ST12000NM0007,2020-06-30,0.9725088,0
ZCH0ACJA,ST12000NM0007,2020-06-30,0.9725053,0
ZA180Z6B,ST8000NM0055,2020-06-30,0.97248185,0
ZJV00F74,ST12000NM0007,2020-06-30,0.9723971,0
ZJV004X0,ST12000NM0007,2020-05-05,0.9722936,1
Z3051TDM,ST4000DM000,2020-06-30,0.9720152,0
ZCH09MEW,ST12000NM0007,2020-06-30,0.9719724,0
ZCH0CJ6B,ST12000NM0007,2020-06-30,0.97191113,0
87DFWOGPT,TOSHIBA MQ01ABF050,2020-06-30,0.97191036,0
ZJV03VG2,ST12000NM0007,2020-06-30,0.97180116,0
ZDEBF12K,ST500LM030,2020-06-30,0.9717771,0
ZDEB01DQ,ST500LM030,2020-06-30,0.9717771,0
ZDEB359M,ST500LM030,2020-06-30,0.97177356,0
ZCH0DGB1,ST12000NM0007,2020-06-30,0.971748,0
ZJV10995,ST12000NM0007,2020-06-24,0.9717234,0
ZHZ50XFX,ST12000NM0008,2020-06-04,0.97162896,1
ZCH0CE4N,ST12000NM0007,2020-06-30,0.9714717,0
ZCH072A0,ST12000NM0007,2020-06-30,0.9713608,0
ZCH060W4,ST12000NM0007,2020-06-30,0.97114265,0
ZLW0DHF5,ST12000NM001G,2020-06-30,0.9710858,0
ZJV0WGDG,ST12000NM0007,2020-06-30,0.9709925,0
ZJV02PFM,ST12000NM0007,2020-06-30,0.97097707,0
ZA16DQX9,ST8000NM0055,2020-06-30,0.97086585,0
ZCH0CZCV,ST12000NM0007,2020-06-30,0.97079426,0
ZJV3BS52,ST12000NM0007,2020-06-30,0.97078705,0
ZCH030RD,ST12000NM0007,2020-06-30,0.9707817,0
ZCH046CT,ST12000NM0007,2020-06-30,0.97076505,0
ZDEC9632,ST500LM030,2020-06-30,0.97074616,0
ZCH09MHB,ST12000NM0007,2020-06-30,0.9707089,0
ZCH077DJ,ST12000NM0007,2020-06-30,0.970596,0
ZCH0CE19,ST12000NM0007,2020-06-30,0.9705566,0
PL2331LAGHX4WJ,HGST HDS5C4040ALE630,2020-05-06,0.9705508,1
ZA1816CT,ST8000NM0055,2020-06-30,0.9705345,0
S300Z67W,ST4000DM000,2020-06-30,0.97045743,0
ZCH07Q9L,ST12000NM0007,2020-06-30,0.97031903,0
ZJV10ACX,ST12000NM0007,2020-06-30,0.97030556,0
ZJV10J5M,ST12000NM0007,2020-06-30,0.9703001,0
ZCH0CE0V,ST12000NM0007,2020-06-30,0.97000575,0
ZCH072VZ,ST12000NM0007,2020-06-30,0.96998,0
ZJV4E2MJ,ST12000NM0007,2020-06-30,0.9699256,0
ZJV0SJZX,ST12000NM0007,2020-06-30,0.96983206,0
ZA139G62,ST8000NM0055,2020-06-30,0.9697703,0
ZCH0CE94,ST12000NM0007,2020-06-30,0.96967846,0
ZGS01H45,ST500LM030,2020-06-30,0.9696537,0
8HJHESVH,HGST HUH721212ALN604,2020-06-30,0.9696408,0
S301MJ8S,ST4000DM000,2020-05-19,0.9696078,1
ZCH07WMM,ST12000NM0007,2020-06-12,0.96936786,1
ZCH0CXRT,ST12000NM0007,2020-06-30,0.9693657,0
ZCH0AJQJ,ST12000NM0007,2020-06-30,0.9693657,0
ZCH06M1V,ST12000NM0007,2020-06-30,0.96935534,0
8HG59NUH,HGST HUH721212ALN604,2020-06-30,0.9692537,0
ZA143CSY,ST8000DM002,2020-06-30,0.9691245,0
AAG6TVZH,HGST HUH721212ALN604,2020-06-01,0.9691227,1
ZCH084VF,ST12000NM0007,2020-05-13,0.9691151,1
ZJV1CGEA,ST12000NM0007,2020-06-30,0.96878916,0
ZCH09MFZ,ST12000NM0007,2020-06-30,0.96876913,0
Z305839N,ST4000DM000,2020-06-30,0.96874815,0
ZJV0019Y,ST12000NM0007,2020-06-10,0.9686226,0
ZCH07XCE,ST12000NM0007,2020-06-30,0.96862096,0
ZCH0CN61,ST12000NM0007,2020-06-30,0.9685726,0
ZCH088SL,ST12000NM0007,2020-06-30,0.96851695,0
176FT01NT,TOSHIBA MQ01ABF050M,2020-06-30,0.9683899,0
ZA11NZ9A,ST8000DM002,2020-06-30,0.9681749,0
ZA180971,ST8000NM0055,2020-06-30,0.9681322,0
ZCH09H3W,ST12000NM0007,2020-06-30,0.96802306,0
ZCH07NM9,ST12000NM0007,2020-06-30,0.9679689,0
ZCH07841,ST12000NM0007,2020-06-30,0.9679689,0
ZCH07W1E,ST12000NM0007,2020-06-30,0.9679689,0
ZA13ZS22,ST8000DM002,2020-06-30,0.9679267,0
ZCH0CJ98,ST12000NM0007,2020-06-30,0.9678559,0
AAH7ZJLH,HGST HUH721212ALN604,2020-06-30,0.96757466,0
ZCH0CFCS,ST12000NM0007,2020-06-30,0.9673342,0
ZCH07XH1,ST12000NM0007,2020-06-30,0.9672833,0
ZCH07W4Y,ST12000NM0007,2020-06-30,0.9672833,0
ZA16DWJ5,ST8000NM0055,2020-06-30,0.9672555,0
ZHZ3RVZA,ST12000NM0008,2020-06-30,0.96717685,0
ZJV0B8H5,ST12000NM0007,2020-06-30,0.96710515,0
ZA12KEDG,ST8000DM002,2020-06-30,0.96672094,0
ZCH07HHA,ST12000NM0007,2020-06-30,0.9666713,0
ZCH089NV,ST12000NM0007,2020-06-30,0.9666713,0
AAG2SEPH,HGST HUH721212ALN604,2020-06-30,0.96664464,0
ZA10QN02,ST8000DM002,2020-06-30,0.96649307,0
ZJV0XD76,ST12000NM0007,2020-06-30,0.9664642,0
ZCH077NX,ST12000NM0007,2020-06-30,0.9664233,0
ZJV1222K,ST12000NM0007,2020-06-30,0.966378,0
ZJV05D4S,ST12000NM0007,2020-06-30,0.96635187,0
ZCH0CJRP,ST12000NM0007,2020-06-30,0.9660832,0
ZCH08QKZ,ST12000NM0007,2020-06-30,0.9660832,0
Z305K1VV,ST4000DM000,2020-06-30,0.9658116,0
88R0A0ENF97G,TOSHIBA MG07ACA14TA,2020-06-30,0.96576494,0
Z79KT7AOT,TOSHIBA MQ01ABF050M,2020-06-30,0.9656323,0
ZHZ4QBDK,ST12000NM0008,2020-05-09,0.9655444,1
ZJV009H4,ST12000NM0007,2020-06-30,0.96553516,0
ZCH0BSTX,ST12000NM0007,2020-06-30,0.96553516,0
PL2331LAHDSD3J,HGST HMS5C4040BLE640,2020-06-30,0.9654389,0
ZCH06KSR,ST12000NM0007,2020-06-30,0.96534705,0
ZCH06VQA,ST12000NM0007,2020-06-30,0.9652321,0
ZCH075T2,ST12000NM0007,2020-06-30,0.9648586,0
Z302AKZB,ST4000DM000,2020-06-30,0.96429884,0
ZA1AQ887,ST8000NM0055,2020-06-30,0.9640848,0
ZHZ4V5QH,ST12000NM0008,2020-06-30,0.9640754,0
ZCH088ZT,ST12000NM0007,2020-06-30,0.9638227,0
ZCH06F0P,ST12000NM0007,2020-06-30,0.9638227,0
